name,category,agent,parameters_schema,data_source,data_source_type,neo4j_uri,method,description,engine_id,engine_uri,te_id
find_similar_part_by_description,part_lookup,product_agent,"{\""part_description\"": {\""type\"": \""string\"", \""required\"": true}, \""limit\"": {\""type\"": \""integer\"", \""required\"": false}}",neo4j://find_similar_part_by_description,neo4j,neo4j://34.134.77.114:7687,CYPHER,Search similar parts by description,DEFAULT,http://136.116.234.99:4001/graphql,2
find_supplier_by_part_id,part_lookup,supplier_agent,"{\""part_id\"": {\""type\"": \""string\"", \""required\"": true}}",neo4j://find_supplier_by_part_id,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find supplier for part ID,DEFAULT,http://136.116.234.99:4001/graphql,2
find_bottom_selling_and_unsold_products,product_analytics,product_agent,"{\""percentile\"": {\""type\"": \""number\"", \""required\"": false}}",neo4j://find_bottom_selling_and_unsold_products,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find bottom 10% selling products and unsold products,DEFAULT,http://136.116.234.99:4001/graphql,2
find_products_with_most_parts,product_analytics,product_agent,"{\""percentile\"": {\""type\"": \""number\"", \""required\"": false}}",neo4j://find_products_with_most_parts,neo4j,neo4j://34.134.77.114:7687,CYPHER,Top products with most parts,DEFAULT,http://136.116.234.99:4001/graphql,2
find_top_products_with_highest_centrality_parts,product_analytics,product_agent,{},neo4j://find_top_products_with_highest_centrality_parts,neo4j,neo4j://34.134.77.114:7687,CYPHER,Top products with highest centrality parts,DEFAULT,http://136.116.234.99:4001/graphql,2
find_top_selling_products,product_analytics,product_agent,"{\""percentile\"": {\""type\"": \""number\"", \""required\"": false}}",neo4j://find_top_selling_products,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find top 10% selling products,DEFAULT,http://136.116.234.99:4001/graphql,2
find_high_centrality_parts_by_order_id,product_part_lookup,product_agent,"{\""order_id\"": {\""type\"": \""string\"", \""required\"": true}}",neo4j://find_high_centrality_parts_by_order_id,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find high-centrality parts for order ID,DEFAULT,http://136.116.234.99:4001/graphql,2
find_products_and_parts_by_order_id,product_part_lookup,product_agent,"{\""order_id\"": {\""type\"": \""string\"", \""required\"": true}}",neo4j://find_products_and_parts_by_order_id,neo4j,http://136.116.234.99:3000/engine/Mfg_Parts-03,CYPHER,Find products and parts for order ID,Mfg_Parts-03,http://136.116.234.99:4001/graphql,1
find_products_by_part_id,product_part_lookup,product_agent,"{\""part_id\"": {\""type\"": \""string\"", \""required\"": true}}",neo4j://find_products_by_part_id,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find all products using a part,DEFAULT,http://136.116.234.99:4001/graphql,2
compute_cosine_similarity,semantic_similarity,semantic_similarity_agent,"{\""embedding1\"": {\""type\"": \""array\"", \""description\"": \""First vector embedding (list of floats)\"", \""required\"": true}, \""embedding2\"": {\""type\"": \""array\"", \""description\"": \""Second vector embedding (list of floats)\"", \""required\"": true}}",neo4j://compute_cosine_similarity,neo4j,neo4j://34.134.77.114:7687,CYPHER,Compute cosine similarity between two vector embeddings,DEFAULT,http://136.116.234.99:4001/graphql,2
find_similar_prompts_by_embedding,semantic_similarity,semantic_similarity_agent,"{\""embedding\"": {\""type\"": \""array\"", \""description\"": \""Query vector embedding (list of floats)\"", \""required\"": true}, \""top_k\"": {\""type\"": \""integer\"", \""description\"": \""Number of top similar prompts to return\"", \""required\"": false}, \""min_score\"": {\""type\"": \""number\"", \""description\"": \""Minimum cosine similarity score threshold (0.0 to 1.0)\"", \""required\"": false}}",neo4j://find_similar_prompts_by_embedding,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find similar prompts in Neo4j database using vector embedding similarity,DEFAULT,http://136.116.234.99:4001/graphql,2
reconstruct_cached_plan,semantic_similarity,semantic_similarity_agent,"{\""cached_data\"": {\""type\"": \""object\"", \""description\"": \""Raw cached data from Neo4j containing reasoning, agents, and tools\"", \""required\"": true}, \""user_input\"": {\""type\"": \""string\"", \""description\"": \""The current user query to adapt the cached plan for\"", \""required\"": true}}",neo4j://reconstruct_cached_plan,neo4j,neo4j://34.134.77.114:7687,CYPHER,"Reconstruct a complete execution plan from cached Neo4j data including reasoning, agents, tools, dependencies, and properly formatted tool inputs",DEFAULT,http://136.116.234.99:4001/graphql,2
create_news_sentiment_score,sentiment_analysis,news_agent,"{\""news_text\"": {\""type\"": \""string\"", \""required\"": true}}",neo4j://create_news_sentiment_score,neo4j,neo4j://34.134.77.114:7687,CYPHER,Generate sentiment score for news,DEFAULT,http://136.116.234.99:4001/graphql,2
find_supplier_address_by_id,supplier_lookup,supplier_agent,"{\""supplier_id\"": {\""type\"": \""string\"", \""required\"": true}}",neo4j://find_supplier_address_by_id,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find supplier address,DEFAULT,http://136.116.234.99:4001/graphql,2
find_supplier_details_by_id,supplier_lookup,supplier_agent,"{\""supplier_id\"": {\""type\"": \""string\"", \""required\"": true}}",neo4j://find_supplier_details_by_id,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find supplier details,DEFAULT,http://136.116.234.99:4001/graphql,2
find_supplier_id_by_name_partial,supplier_lookup,supplier_agent,"{\""supplier_name_partial\"": {\""type\"": \""string\"", \""required\"": true}, \""limit\"": {\""type\"": \""integer\"", \""required\"": false}}",neo4j://find_supplier_id_by_name_partial,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find supplier ID by partial name,DEFAULT,http://136.116.234.99:4001/graphql,2
find_supplier_location_by_id,supplier_lookup,supplier_agent,"{\""supplier_id\"": {\""type\"": \""string\"", \""required\"": true}}",neo4j://find_supplier_location_by_id,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find supplier location,DEFAULT,http://136.116.234.99:4001/graphql,2
find_supplier_stock_symbol_by_id,supplier_lookup,supplier_agent,"{\""supplier_id\"": {\""type\"": \""string\"", \""required\"": true}}",neo4j://find_supplier_stock_symbol_by_id,neo4j,neo4j://34.134.77.114:7687,CYPHER,Find supplier stock symbol,DEFAULT,http://136.116.234.99:4001/graphql,2
synthesis_helper_tool,synthesis,synthesis_agent,"{\""synthesis_text\"": {\""type\"": \""string\"", \""description\"": \""The synthesized answer text to persist or post-process\"", \""required\"": true}, \""format\"": {\""type\"": \""string\"", \""description\"": \""Optional format (text|json)\"", \""required\"": false}}",neo4j://synthesis_helper_tool,neo4j,neo4j://34.134.77.114:7687,CYPHER,Helper tool invoked by the synthesis agent to format and persist the final synthesized answer.,DEFAULT,http://136.116.234.99:4001/graphql,2
text_summarizer,text_processing,analysis_agent,"{\""text\"": {\""type\"": \""string\"", \""description\"": \""The text to summarize\"", \""required\"": true}, \""max_length\"": {\""type\"": \""integer\"", \""description\"": \""Maximum length of summary in words\"", \""required\"": false}}",neo4j://text_summarizer,neo4j,neo4j://34.134.77.114:7687,CYPHER,Summarize long text into key points,DEFAULT,http://136.116.234.99:4001/graphql,2
analyze_news,null,null,null,null,null,null,null,null,DEFAULT,http://136.116.234.99:4001/graphql,2
analyze_parts,null,null,null,null,null,null,null,null,DEFAULT,http://136.116.234.99:4001/graphql,2
analyze_products,null,null,null,null,null,null,null,null,DEFAULT,http://136.116.234.99:4001/graphql,2
analyze_suppliers,null,null,null,null,null,null,null,null,DEFAULT,http://136.116.234.99:4001/graphql,2
combining and synthesizing information,null,null,null,null,null,null,null,null,DEFAULT,http://136.116.234.99:4001/graphql,2
combining and synthesizing information from multiple sources,null,null,null,null,null,null,null,null,DEFAULT,http://136.116.234.99:4001/graphql,2
identify top customers,null,null,null,null,null,null,null,null,DEFAULT,http://136.116.234.99:4001/graphql,2
lookup_suppliers,null,null,null,null,null,null,null,null,DEFAULT,http://136.116.234.99:4001/graphql,2
news and sentiment analysis for suppliers,null,null,null,null,null,null,null,null,DEFAULT,http://136.116.234.99:4001/graphql,2
product analytics,null,null,null,null,null,null,null,null,DEFAULT,http://136.116.234.99:4001/graphql,2
product and part analytics,null,null,null,null,null,null,null,null,DEFAULT,http://136.116.234.99:4001/graphql,2
retrieve their order history,null,null,null,null,null,null,null,null,DEFAULT,http://136.116.234.99:4001/graphql,2
retrieve_order_history,null,null,null,null,null,null,null,null,DEFAULT,http://136.116.234.99:4001/graphql,2
supplier analytics,null,null,null,null,null,null,null,null,DEFAULT,http://136.116.234.99:4001/graphql,2
"supplier analytics, lookup, and reporting",null,null,null,null,null,null,null,null,DEFAULT,http://136.116.234.99:4001/graphql,2
synthesize information,null,null,null,null,null,null,null,null,DEFAULT,http://136.116.234.99:4001/graphql,2
